קבוצה,מספר שעור,שם שעור,מחלקה במערכת שכר,סמסטר,מס.שאלון,שם השאלון,ממוצע שאלה  1,ממוצע שאלה  2,ממוצע שאלה  3,ממוצע שאלה  4,מס.שאלון.1,לומדים,מס משיבים לקורס,אחוז משיבים,KMeans_Cluster,Hierarchical_Cluster,Clusters_Combined
0,3634305,מעבדה מתקדמת באופטיקה,14.0,ב,150,"סקר הוראה מעבדה - סמס' ב' תשפ""א",7.0,7.0,6.75,7.0,150,10.0,4,40.0,0,1,"0,1"
1,1000110,מבוא לאסתטיקה א',60.0,א,143,"סקר הוראה פרונטלי (עיצוב) - סמס' א' תשפ""א",6.5,6.3125,6.625,5.2,143,38.0,16,42.105,0,1,"0,1"
1,1000236,עיצוב ותרבות חומרית בעת החדשה המוקדמת (1400-1650),60.0,א,143,"סקר הוראה פרונטלי (עיצוב) - סמס' א' תשפ""א",7.0,6.88888888888889,6.75,7.0,143,28.0,9,32.143,0,1,"0,1"
1,1000240,אוצרות-חלק א',60.0,א,143,"סקר הוראה פרונטלי (עיצוב) - סמס' א' תשפ""א",6.8,6.0,6.8,6.4,143,28.0,5,17.857,0,1,"0,1"
1,1000303,עיצוב ומשפט,60.0,א,143,"סקר הוראה פרונטלי (עיצוב) - סמס' א' תשפ""א",6.0,6.14285714285714,6.57142857142857,6.71428571428571,143,34.0,7,20.588,0,1,"0,1"
1,1000326,עיר ומרחב בישראל,13.0,א,143,"סקר הוראה פרונטלי (עיצוב) - סמס' א' תשפ""א",6.66666666666667,6.66666666666667,6.0,6.33333333333333,143,74.0,6,8.108,0,1,"0,1"
1,1000426,מכונת מילים-עיצוב וייצור טקסטים,60.0,א,143,"סקר הוראה פרונטלי (עיצוב) - סמס' א' תשפ""א",6.28571428571429,5.71428571428571,6.28571428571429,6.42857142857143,143,19.0,7,36.842,0,1,"0,1"
1,1000437,"מכשפות, צוענים ומשוגעים:""האחר"" באמנות",60.0,א,143,"סקר הוראה פרונטלי (עיצוב) - סמס' א' תשפ""א",6.66666666666667,6.75,6.6,6.9,143,32.0,12,37.5,0,1,"0,1"
1,1013242,THE VIRTUAL DESIGN EXPERIENCE,4.0,א,143,"סקר הוראה פרונטלי (עיצוב) - סמס' א' תשפ""א",4.8,6.2,7.0,6.8,143,15.0,5,33.333,0,1,"0,1"
1,1013242,THE VIRTUAL DESIGN EXPERIENCE,165.0,א,143,"סקר הוראה פרונטלי (עיצוב) - סמס' א' תשפ""א",5.0,6.75,6.75,7.0,143,15.0,4,26.667,0,1,"0,1"
1,1200108,FOOD DESIGN,10.0,א,143,"סקר הוראה פרונטלי (עיצוב) - סמס' א' תשפ""א",5.6,6.0,6.4,5.2,143,31.0,5,16.129,1,1,"1,1"
1,1200108,FOOD DESIGN,12.0,א,143,"סקר הוראה פרונטלי (עיצוב) - סמס' א' תשפ""א",5.125,5.375,6.14285714285714,4.5,143,31.0,8,25.806,1,3,"1,3"
1,3001564,תכנות 1 - תרגיל,7.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",6.625,6.625,6.0,6.375,142,34.0,8,23.529,0,1,"0,1"
1,3001864,תכנות 1 - מבוא למדעי המחשב,7.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",5.9,5.3,6.2,6.0,142,40.0,10,25.0,1,3,"1,3"
1,3004851,ראיה ממוחשבת שימושית,14.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",7.0,7.0,7.0,7.0,142,11.0,2,18.182,0,1,"0,1"
1,3011805,כימיה כללית 1,9.0,א,144,"סקר הוראה פרונטלי (הנדסה כימית) - סמס' א' תשפ""א",5.83333333333333,6.0,6.16666666666667,6.5,144,42.0,6,14.286,0,1,"0,1"
1,3011805,כימיה כללית 1,9.0,א,145,"סקר הוראה פרונטלי (הנדסת פולימרים) - סמס' א' תשפ""א",6.0,6.46153846153846,6.23076923076923,6.66666666666667,145,42.0,13,30.952,0,1,"0,1"
1,3012158,מדע הפולימרים,6.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",2.625,2.375,6.0,6.0,142,15.0,8,53.333,2,3,"2,3"
1,3100141,יסודות מבנה המחשב,1.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",7.0,7.0,7.0,7.0,142,57.0,12,21.053,0,1,"0,1"
1,3100158,ניהול מוצר - בחירה,1.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",6.61538461538462,6.69230769230769,7.0,6.66666666666667,142,69.0,13,18.841,0,1,"0,1"
1,3100163,ניהול פרויקטים,1.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",3.64285714285714,3.14285714285714,4.33333333333333,4.38461538461539,142,81.0,14,17.284,2,2,"2,2"
1,3100168,מערכות הפעלה-בחירה,1.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",6.8,7.0,7.0,6.6,142,23.0,5,21.739,0,1,"0,1"
1,3100568,מבני נתונים ואלגוריתמים-תרגיל,70.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",5.75,5.0,6.66666666666667,6.25,142,39.0,4,10.256,0,1,"0,1"
1,3100868,מבני נתונים ואלגוריתמים,70.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",5.22727272727273,5.27272727272727,6.4,5.85,142,82.0,22,26.829,1,1,"1,1"
1,3101112,מבוא לכלכלה,1.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",6.11111111111111,5.33333333333333,7.0,5.625,142,69.0,9,13.043,0,1,"0,1"
1,3101801,מבוא לתכנות בפייתון,1.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",3.58333333333333,4.25,5.16666666666667,4.66666666666667,142,58.0,12,20.69,2,3,"2,3"
1,3102111,יסודות הניהול בארגונים,1.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",5.21428571428571,5.42857142857143,4.0,5.41666666666667,142,74.0,14,18.919,1,3,"1,3"
1,3102143,מבוא לאלקטרוניקה,70.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",5.5,5.1,4.85714285714286,5.52631578947368,142,79.0,20,25.316,1,3,"1,3"
1,3102524,בסיסי נתונים-תרגיל,1.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",6.66666666666667,6.5,7.0,6.16666666666667,142,28.0,6,21.429,0,1,"0,1"
1,3102550,סטטיסטיקה 1-תרגיל,1.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",6.8,6.6,6.53333333333333,6.73333333333333,142,44.0,15,34.091,0,1,"0,1"
1,3102565,סטטיסטיקה 2- תרגיל,1.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",6.8,6.6,7.0,7.0,142,37.0,5,13.514,0,1,"0,1"
1,3102591,מבוא להנדסת מכונות-תרגיל,1.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",3.33333333333333,3.0,4.0,6.0,142,42.0,3,7.143,2,2,"2,2"
1,3102824,בסיסי נתונים,1.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",6.89655172413793,6.82758620689655,6.88888888888889,6.64285714285714,142,94.0,29,30.851,0,1,"0,1"
1,3102850,סטטיסטיקה 1,1.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",4.0,4.32,5.8,5.28571428571429,142,79.0,25,31.646,1,3,"1,3"
1,3102865,סטטיסטיקה 2,1.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",7.0,6.2,7.0,7.0,142,35.0,5,14.286,0,1,"0,1"
1,3103149,שיטות סטטיסטיות באיכות,1.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",5.0,4.71428571428571,6.0,4.0,142,45.0,7,15.556,1,3,"1,3"
1,3103199,יסודות המימון,1.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",5.41666666666667,3.83333333333333,7.0,5.25,142,79.0,12,15.19,1,3,"1,3"
1,3103560,חקר ביצועים 2-תרגיל,1.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",6.92307692307692,6.5,6.7,7.0,142,50.0,13,26.0,0,1,"0,1"
1,3103866,יישומים סטטיסטיים,1.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",3.4,3.35,3.0,4.89473684210526,142,86.0,20,23.256,2,2,"2,2"
1,3120118,ניהול מוצר מתקדם,1.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",7.0,6.0,6.0,7.0,142,28.0,1,3.571,0,1,"0,1"
1,3120143,רשתות תקשורת,1.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",5.71428571428571,5.71428571428571,6.25,5.53846153846154,142,81.0,14,17.284,1,1,"1,1"
1,3122220,חדשנות מבוססת בינה מלאכותית וביג דאטה,1.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",6.33333333333333,7.0,6.8,7.0,142,18.0,6,33.333,0,1,"0,1"
1,3122221,שיטות מתקדמות בניהול פרויקטים,1.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",4.66666666666667,5.0,3.0,7.0,142,18.0,3,16.667,1,3,"1,3"
1,3301877,שרטוט הנדסי,13.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",6.71428571428571,6.57142857142857,7.0,5.57142857142857,142,28.0,7,25.0,0,1,"0,1"
1,3311804,תכנות בשפת Python,1.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",6.66666666666667,6.5,6.5,6.83333333333333,142,28.0,6,21.429,0,1,"0,1"
1,3312304,כימיה אורגנית מעבדה,9.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",5.71428571428571,6.14285714285714,7.0,6.16666666666667,142,18.0,7,38.889,0,1,"0,1"
1,3312304,כימיה אורגנית מעבדה,6.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",6.875,6.875,7.0,6.875,142,18.0,8,44.444,0,1,"0,1"
1,3312304,כימיה אורגנית מעבדה,9.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",5.83333333333333,6.66666666666667,5.5,6.33333333333333,142,18.0,6,33.333,0,1,"0,1"
1,3313110,שיטות איפיון מכשירניות,9.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",6.5,6.3,7.0,7.0,142,30.0,10,33.333,0,1,"0,1"
1,3323805,תהליכי הפרדה 1,9.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",5.42857142857143,6.0,6.0,7.0,142,15.0,7,46.667,0,1,"0,1"
1,3324306,מעבדה בתהליכי הפרדה וראקטורים,9.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",4.0,3.66666666666667,6.0,4.0,142,14.0,3,21.429,2,2,"2,2"
1,3324306,מעבדה בתהליכי הפרדה וראקטורים,9.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",6.66666666666667,6.33333333333333,7.0,6.0,142,14.0,3,21.429,0,1,"0,1"
1,3324512,דינמיקה ובקרת תהליכים - תרגיל,9.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",5.75,3.25,6.5,7.0,142,17.0,4,23.529,1,1,"1,1"
1,3324613,תיכון וניתוח מפעלים 1,9.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",1.6,1.6,2.5,2.75,142,15.0,5,33.333,2,2,"2,2"
1,3324613,תיכון וניתוח מפעלים 1,9.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",1.57142857142857,1.71428571428571,2.16666666666667,3.14285714285714,142,15.0,7,46.667,2,2,"2,2"
1,3324812,דינמיקה ובקרת תהליכים,9.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",3.5,3.0,6.5,7.0,142,17.0,4,23.529,1,3,"1,3"
1,3340120,הנדסת זיהום אויר - בחירה,9.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",6.0,6.16666666666667,6.0,7.0,142,19.0,6,31.579,0,1,"0,1"
1,3342803,עקרונות הנדסה סביבתית,9.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",6.77777777777778,6.55555555555556,7.0,7.0,142,16.0,9,56.25,0,1,"0,1"
1,3350115,קולואידים ותופעות פני שטח בתעשיית התרופות והקוסמטיקה,9.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",6.625,6.75,6.0,6.875,142,20.0,8,40.0,0,1,"0,1"
1,3403130,פולימרים תרמוסטיים ואלסטומרים,6.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",6.0,6.0,6.0,7.0,142,18.0,3,16.667,0,1,"0,1"
1,3403130,פולימרים תרמוסטיים ואלסטומרים,6.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",5.0,4.5,4.0,6.5,142,18.0,2,11.111,1,3,"1,3"
1,3403169,הזרקה ועיצוב בחום,6.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",5.88888888888889,6.0,4.5,6.33333333333333,142,29.0,9,31.034,1,1,"1,1"
1,3403958,שיטות ואיפיון,6.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",6.5,6.5,7.0,6.75,142,16.0,4,25.0,0,1,"0,1"
1,3404112,תכן ומחשוב בהנדסת פלסטיקה,6.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",3.5,5.5,3.0,4.0,142,20.0,2,10.0,2,2,"2,2"
1,3404155,פיסיקה ומכניקה של פולימרים,6.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",7.0,7.0,7.0,6.0,142,26.0,2,7.692,0,1,"0,1"
1,3404471,סמינר פרויקט גמר,6.0,א,142,"סקר הוראה פרונטלי (הנדסה) - סמס' א' תשפ""א",6.0,7.0,7.0,7.0,142,23.0,2,8.696,0,1,"0,1"
