קבוצה,מספר שעור,שם שעור,מחלקה במערכת שכר,סמסטר,מס.שאלון,שם השאלון,ממוצע שאלה  1,ממוצע שאלה  2,ממוצע שאלה  3,ממוצע שאלה  4,מס.שאלון.1,לומדים,מס משיבים לקורס,אחוז משיבים,KMeans_Cluster,Hierarchical_Cluster,Clusters_Combined
0,4243280,עיצוב מתקדם בסריגה תעשייתית,5.0,א,155,סקר הוראה סטודיו - סמס א תשפב,3.66666666666667,2.66666666666667,3.16666666666667,3.66666666666667,155,11.0,6,54.545,2,3,"2,3"
0,4243280,עיצוב מתקדם בסריגה תעשייתית,6.0,א,155,סקר הוראה סטודיו - סמס א תשפב,2.5,2.5,1.5,2.83333333333333,155,11.0,6,54.545,2,3,"2,3"
0,4503113,סטודיו ריהוט,10.0,א,155,סקר הוראה סטודיו - סמס א תשפב,7.0,7.0,7.0,7.0,155,21.0,1,4.762,1,1,"1,1"
0,4503113,סטודיו ריהוט,10.0,א,155,סקר הוראה סטודיו - סמס א תשפב,7.0,7.0,7.0,7.0,155,21.0,1,4.762,1,1,"1,1"
0,4504100,סוגיות ביום שאחרי,10.0,א,155,סקר הוראה סטודיו - סמס א תשפב,5.0,4.0,4.5,3.0,155,29.0,2,6.897,2,3,"2,3"
0,9999996,עמית נסיון 3,70.0,ב,162,סקר הוראה פרונטלי (עיצוב) - סמס ב תשפב,7.0,7.0,6.0,7.0,162,,1,,1,1,"1,1"
1,1013241,חפצי מעבר -זהות ושוטטות,80.0,א,155,סקר הוראה סטודיו - סמס א תשפב,6.78571428571429,6.71428571428571,6.85714285714286,7.0,155,20.0,14,70.0,1,1,"1,1"
1,1013245,אינטראקציית אדם-מזון,80.0,א,155,סקר הוראה סטודיו - סמס א תשפב,4.85714285714286,3.71428571428571,5.85714285714286,5.42857142857143,155,18.0,7,38.889,0,2,"0,2"
1,1013245,אינטראקציית אדם-מזון,165.0,א,155,סקר הוראה סטודיו - סמס א תשפב,5.71428571428571,4.57142857142857,6.28571428571429,5.71428571428571,155,18.0,7,38.889,0,1,"0,1"
1,1013246,עולם המחר: מגדלים חכמים,80.0,א,155,סקר הוראה סטודיו - סמס א תשפב,5.23076923076923,5.53846153846154,6.07692307692308,5.92307692307692,155,22.0,13,59.091,0,2,"0,2"
1,1013246,עולם המחר: מגדלים חכמים,5.0,א,155,סקר הוראה סטודיו - סמס א תשפב,5.30769230769231,5.76923076923077,6.30769230769231,6.0,155,22.0,13,59.091,0,1,"0,1"
1,1013247,רגשות ומכונות,80.0,א,155,סקר הוראה סטודיו - סמס א תשפב,3.16666666666667,3.75,4.16666666666667,3.66666666666667,155,20.0,12,60.0,2,3,"2,3"
1,1013247,רגשות ומכונות,15.0,א,155,סקר הוראה סטודיו - סמס א תשפב,4.45454545454545,4.18181818181818,4.72727272727273,4.27272727272727,155,20.0,11,55.0,2,3,"2,3"
1,1013248,האדם הכורה:  על ניצול ופגיעה במשאבים טבעיים,13.0,א,155,סקר הוראה סטודיו - סמס א תשפב,4.85714285714286,5.57142857142857,6.57142857142857,6.5,155,17.0,7,41.176,0,2,"0,2"
