קבוצה,מספר שעור,שם שעור,מחלקה במערכת שכר,סמסטר,מס.שאלון,שם השאלון,ממוצע שאלה  1,ממוצע שאלה  2,ממוצע שאלה  3,ממוצע שאלה  4,מס.שאלון.1,לומדים,מס משיבים לקורס,אחוז משיבים,KMeans_Cluster,Hierarchical_Cluster,Clusters_Combined
0,4900229,עיצוב במאה ה-21-חלק 1-סמינר דיון וניסוח שאלות הקשורות לעיצוב (מעצב),154.0,א,174,סקר הוראה שיעור (עיצוב) - א תשפג,5.5,4.875,6.125,5.33333333333333,174,15,9,60.0,1,3,"1,3"
1,1000100,אנגלית טרום בסיסי,50.0,א,174,סקר הוראה שיעור (עיצוב) - א תשפג,6.57142857142857,6.71428571428571,6.92857142857143,6.78571428571429,174,18,14,77.778,0,1,"0,1"
1,1000101,אנגלית בסיסי,50.0,א,174,סקר הוראה שיעור (עיצוב) - א תשפג,6.30769230769231,6.23076923076923,6.84615384615385,6.07692307692308,174,19,13,68.421,0,1,"0,1"
1,1000110,מבוא לאסתטיקה א',60.0,א,174,סקר הוראה שיעור (עיצוב) - א תשפג,6.36,6.19230769230769,6.80769230769231,6.34615384615385,174,35,26,74.286,0,1,"0,1"
1,1000160,יוונים ורומים ששינו את העולם,50.0,א,174,סקר הוראה שיעור (עיצוב) - א תשפג,6.55,6.6,6.8,6.3,174,28,20,71.429,0,1,"0,1"
1,1000206,בעיות יסוד בחברה הישראלית,60.0,א,174,סקר הוראה שיעור (עיצוב) - א תשפג,5.6875,5.125,5.375,4.875,174,40,16,40.0,1,3,"1,3"
1,1000233,מגדר וגוף,60.0,א,174,סקר הוראה שיעור (עיצוב) - א תשפג,6.1304347826087,5.73913043478261,6.26086956521739,6.0,174,38,23,60.526,0,1,"0,1"
1,1000236,עיצוב ותרבות חומרית בעת החדשה המוקדמת (1400-1650),60.0,א,174,סקר הוראה שיעור (עיצוב) - א תשפג,6.84375,6.875,6.90625,6.625,174,40,32,80.0,0,1,"0,1"
1,1000239,מוזיקה במאה ה-20 _EMI,60.0,א,174,סקר הוראה שיעור (עיצוב) - א תשפג,5.0,5.09090909090909,4.8,5.09090909090909,174,41,11,26.829,1,3,"1,3"
1,1000240,אוצרות-חלק א',60.0,א,174,סקר הוראה שיעור (עיצוב) - א תשפג,6.35714285714286,6.13333333333333,6.73333333333333,6.06666666666667,174,33,15,45.455,0,1,"0,1"
1,1000245,תולדות הלבוש 1,60.0,א,174,סקר הוראה שיעור (עיצוב) - א תשפג,6.94,6.94444444444444,6.83333333333333,6.87037037037037,174,65,54,83.077,0,1,"0,1"
1,1000247,מבוא לתאוריה של אופנה עכשווית,60.0,א,174,סקר הוראה שיעור (עיצוב) - א תשפג,6.7,6.8,6.76666666666667,6.72413793103448,174,40,30,75.0,0,1,"0,1"
1,1000250,עיצוב ישראלי,80.0,א,174,סקר הוראה שיעור (עיצוב) - א תשפג,6.58333333333333,6.375,6.91666666666667,6.125,174,41,24,58.537,0,1,"0,1"
1,1000300,הפנים השונות של אהבה,60.0,א,174,סקר הוראה שיעור (עיצוב) - א תשפג,6.25,6.42857142857143,6.76190476190476,6.52380952380952,174,39,21,53.846,0,1,"0,1"
1,1000303,עיצוב ומשפט,60.0,א,174,סקר הוראה שיעור (עיצוב) - א תשפג,6.05,6.4,6.65,5.89473684210526,174,40,20,50.0,0,1,"0,1"
1,1000416,"רובוטים, בלובים וגלשנים: מבוא לעיצוב דיגיטלי",60.0,א,174,סקר הוראה שיעור (עיצוב) - א תשפג,5.30769230769231,5.38461538461539,6.58333333333333,5.46153846153846,174,37,13,35.135,1,3,"1,3"
1,1000419,יסודות הדימוי הנע,60.0,א,174,סקר הוראה שיעור (עיצוב) - א תשפג,6.71428571428571,6.68181818181818,6.90909090909091,6.54545454545455,174,41,22,53.659,0,1,"0,1"
1,1000421,מהרדיקלי עד הפרמטרי - התפתחות העיצוב העכשווי,60.0,א,174,סקר הוראה שיעור (עיצוב) - א תשפג,6.26666666666667,5.875,6.875,5.9375,174,37,16,43.243,0,1,"0,1"
1,1000437,"מכשפות, צוענים ומשוגעים:""האחר"" באמנות",60.0,א,174,סקר הוראה שיעור (עיצוב) - א תשפג,6.4,6.56,6.2,6.52,174,37,25,67.568,0,1,"0,1"
1,1000438,"מפיקאסו ל""משחקי הכס"":תרבות מערבית במאות ה-20-21",60.0,א,174,סקר הוראה שיעור (עיצוב) - א תשפג,5.23529411764706,5.73684210526316,6.36842105263158,5.52631578947368,174,40,19,47.5,1,3,"1,3"
1,1000604,מבוא לגרו-טק,80.0,א,174,סקר הוראה שיעור (עיצוב) - א תשפג,6.90476190476191,6.71428571428571,6.95238095238095,6.71428571428571,174,31,21,67.742,0,1,"0,1"
1,1000812,פיתוח מיזם עסקי - NEW VENTURE CREATION - EMI,80.0,א,174,סקר הוראה שיעור (עיצוב) - א תשפג,6.64285714285714,6.64285714285714,7.0,6.71428571428571,174,25,14,56.0,0,1,"0,1"
1,1000813,מתמטיקה יצירתית,80.0,א,174,סקר הוראה שיעור (עיצוב) - א תשפג,6.65,6.65,7.0,6.65,174,29,20,68.966,0,1,"0,1"
1,1001102,אנגלית מתקדמים א',50.0,א,174,סקר הוראה שיעור (עיצוב) - א תשפג,5.63636363636364,4.59090909090909,5.5,4.59090909090909,174,25,22,88.0,1,3,"1,3"
1,1001103,אנגלית מתקדמים ב',50.0,א,174,סקר הוראה שיעור (עיצוב) - א תשפג,6.96296296296296,6.88888888888889,6.85185185185185,6.62962962962963,174,43,27,62.791,0,1,"0,1"
1,1013254,התמחויות אינטראקציה,80.0,א,174,סקר הוראה שיעור (עיצוב) - א תשפג,5.66666666666667,4.66666666666667,6.5,5.0,174,16,4,25.0,1,3,"1,3"
1,1013255,התמחויות אמנות,15.0,א,174,סקר הוראה שיעור (עיצוב) - א תשפג,5.2,5.4,6.0,5.0,174,16,5,31.25,1,3,"1,3"
1,1200112,יסודות היזמות,1.0,א,176,סקר הוראה סטודיו - א תשפג,4.0,3.875,3.375,3.5,176,13,8,61.538,2,2,"2,2"
1,1200113,THE FOUNDERS LAB - 1,80.0,א,176,סקר הוראה סטודיו - א תשפג,6.9,6.8,7.0,6.4,176,14,10,71.429,0,1,"0,1"
1,3011505,כימיה כללית 1 - תרגיל,9.0,א,175,סקר הוראה תרגול - א תשפג,4.02127659574468,4.68085106382979,4.34042553191489,4.51063829787234,175,66,47,71.212,2,2,"2,2"
1,3012505,כימיה פיסיקלית - תרגיל,6.0,א,175,סקר הוראה תרגול - א תשפג,5.80952380952381,5.5,5.90476190476191,5.72727272727273,175,40,22,55.0,1,3,"1,3"
1,3100568,מבני נתונים ואלגוריתמים-תרגיל,70.0,א,175,סקר הוראה תרגול - א תשפג,6.23076923076923,6.26923076923077,6.69230769230769,6.5,175,42,26,61.905,0,1,"0,1"
1,3102524,בסיסי נתונים-תרגיל,1.0,א,175,סקר הוראה תרגול - א תשפג,6.875,6.875,6.75,6.875,175,19,16,84.211,0,1,"0,1"
1,3102530,תכן עבודה ושיפור שיטות-תרגיל,1.0,א,175,סקר הוראה תרגול - א תשפג,6.41666666666667,6.41666666666667,6.66666666666667,6.63636363636364,175,54,12,22.222,0,1,"0,1"
1,3102550,סטטיסטיקה 1-תרגיל,1.0,א,175,סקר הוראה תרגול - א תשפג,5.86363636363636,6.45454545454545,6.45454545454545,5.86363636363636,175,37,22,59.459,0,1,"0,1"
1,3102551,יסודות החשבונאות-תרגיל,1.0,א,175,סקר הוראה תרגול - א תשפג,5.0,4.36363636363636,5.72727272727273,4.63636363636364,175,43,11,25.581,1,3,"1,3"
1,3102565,סטטיסטיקה 2- תרגיל,1.0,א,175,סקר הוראה תרגול - א תשפג,6.5,6.5,6.95,6.45,175,53,20,37.736,0,1,"0,1"
1,3102566,יסודות התמחיר-תרגיל,1.0,א,175,סקר הוראה תרגול - א תשפג,6.66666666666667,6.8,6.86666666666667,6.5,175,54,15,27.778,0,1,"0,1"
1,3103522,ניתוח מערכות מידע 1 - תרגיל,1.0,א,175,סקר הוראה תרגול - א תשפג,6.11111111111111,6.0,6.0,5.55555555555556,175,67,9,13.433,1,1,"1,1"
1,3103558,סימולציה-תרגיל,1.0,א,175,סקר הוראה תרגול - א תשפג,6.33333333333333,6.55555555555556,6.66666666666667,6.66666666666667,175,24,9,37.5,0,1,"0,1"
1,3103560,חקר ביצועים 2-תרגיל,1.0,א,175,סקר הוראה תרגול - א תשפג,6.33333333333333,6.16666666666667,7.0,6.5,175,37,6,16.216,0,1,"0,1"
1,3311306,כימיה כללית-מעבדה,9.0,א,177,סקר הוראה מעבדה - א תשפג,5.72727272727273,5.81818181818182,6.18181818181818,6.09090909090909,177,18,11,61.111,1,3,"1,3"
1,3312304,כימיה אורגנית מעבדה,9.0,א,177,סקר הוראה מעבדה - א תשפג,6.66666666666667,6.55555555555556,6.66666666666667,6.55555555555556,177,12,9,75.0,0,1,"0,1"
1,3312304,כימיה אורגנית מעבדה,9.0,א,177,סקר הוראה מעבדה - א תשפג,6.8,6.5,6.6,6.8,177,12,10,83.333,0,1,"0,1"
1,3324306,מעבדה בתהליכי הפרדה וראקטורים,9.0,א,177,סקר הוראה מעבדה - א תשפג,6.8,6.4,7.0,6.8,177,8,5,62.5,0,1,"0,1"
1,3324306,מעבדה בתהליכי הפרדה וראקטורים,9.0,א,177,סקר הוראה מעבדה - א תשפג,6.6,6.6,7.0,6.8,177,8,5,62.5,0,1,"0,1"
1,3324306,מעבדה בתהליכי הפרדה וראקטורים,9.0,א,177,סקר הוראה מעבדה - א תשפג,6.66666666666667,6.66666666666667,6.83333333333333,6.66666666666667,177,8,6,75.0,0,1,"0,1"
1,3324512,דינמיקה ובקרת תהליכים - תרגיל,9.0,א,175,סקר הוראה תרגול - א תשפג,6.83333333333333,6.83333333333333,7.0,7.0,175,9,6,66.667,0,1,"0,1"
1,3402506,כימיה אורגנית מתקדמת-תרגיל,6.0,א,175,סקר הוראה תרגול - א תשפג,6.75,6.66666666666667,6.88888888888889,7.0,175,20,9,45.0,0,1,"0,1"
1,3403352,מעבדה לעיבוד וחומרים 1,6.0,א,177,סקר הוראה מעבדה - א תשפג,5.83333333333333,6.0,5.83333333333333,5.83333333333333,177,12,6,50.0,1,3,"1,3"
1,3403352,מעבדה לעיבוד וחומרים 1,6.0,א,177,סקר הוראה מעבדה - א תשפג,4.33333333333333,4.83333333333333,5.83333333333333,4.33333333333333,177,12,6,50.0,1,3,"1,3"
1,3403352,מעבדה לעיבוד וחומרים 1,6.0,א,177,סקר הוראה מעבדה - א תשפג,4.66666666666667,5.0,5.0,5.0,177,12,6,50.0,1,3,"1,3"
1,3403358,שיטות ואיפיון-מעבדה,6.0,א,177,סקר הוראה מעבדה - א תשפג,3.42857142857143,4.71428571428571,3.42857142857143,4.28571428571429,177,14,7,50.0,2,2,"2,2"
1,3403358,שיטות ואיפיון-מעבדה,6.0,א,177,סקר הוראה מעבדה - א תשפג,5.5,5.375,5.875,5.375,177,14,8,57.143,1,3,"1,3"
1,3403358,שיטות ואיפיון-מעבדה,6.0,א,177,סקר הוראה מעבדה - א תשפג,4.5,5.5,4.4,5.6,177,14,10,71.429,1,3,"1,3"
1,3451200,ארגז כלים 1,10.0,א,176,סקר הוראה סטודיו - א תשפג,6.08333333333333,5.91666666666667,6.53846153846154,6.46153846153846,176,25,13,52.0,0,1,"0,1"
1,3451200,ארגז כלים 1,10.0,א,176,סקר הוראה סטודיו - א תשפג,5.95,6.2,6.65,6.2,176,25,20,80.0,0,1,"0,1"
1,3451201,מבוא ליסודות העיצוב,10.0,א,176,סקר הוראה סטודיו - א תשפג,6.36363636363636,6.36363636363636,6.54545454545455,6.36363636363636,176,25,11,44.0,0,1,"0,1"
1,3451201,מבוא ליסודות העיצוב,10.0,א,176,סקר הוראה סטודיו - א תשפג,5.0,5.45,6.4,6.4,176,25,20,80.0,1,3,"1,3"
1,3452100,סטודיו עיצוב תעשייתי 1,10.0,א,176,סקר הוראה סטודיו - א תשפג,4.5,4.5,5.5,4.5,176,11,6,54.545,2,3,"2,3"
1,3452200,ארגז כלים 3 מורפולוגיה,10.0,א,176,סקר הוראה סטודיו - א תשפג,6.2,6.7,7.0,6.5,176,11,10,90.909,0,1,"0,1"
1,3452250,תוכנות עיצוב ותיבם,10.0,א,176,סקר הוראה סטודיו - א תשפג,6.11111111111111,6.66666666666667,6.66666666666667,6.66666666666667,176,11,9,81.818,0,1,"0,1"
1,3500550,לוגיקה מתמטית ותורת הקבוצות-תרגיל,14.0,א,175,סקר הוראה תרגול - א תשפג,5.29166666666667,5.25,5.91666666666667,5.41666666666667,175,33,24,72.727,1,3,"1,3"
1,3501501,מערכות ספרתיות - תרגיל,7.0,א,175,סקר הוראה תרגול - א תשפג,6.63157894736842,6.68421052631579,6.78947368421053,6.68421052631579,175,22,19,86.364,0,1,"0,1"
1,3501565,תכנות 1 - תרגיל,7.0,א,175,סקר הוראה תרגול - א תשפג,6.04347826086957,6.43478260869565,6.47826086956522,5.91304347826087,175,26,23,88.462,0,1,"0,1"
1,3502506,מבוא להסתברות וסטטיסטיקה-תרגיל,70.0,א,175,סקר הוראה תרגול - א תשפג,6.47368421052632,6.52631578947368,6.6,6.52631578947368,175,29,20,68.966,0,1,"0,1"
1,3502510,מבני נתונים-תרגיל,7.0,א,175,סקר הוראה תרגול - א תשפג,5.66666666666667,4.88888888888889,5.55555555555556,5.11111111111111,175,15,9,60.0,1,3,"1,3"
1,3502562,תכנות 3 - תרגיל,7.0,א,175,סקר הוראה תרגול - א תשפג,5.4,5.66666666666667,6.06666666666667,5.86666666666667,175,21,15,71.429,1,3,"1,3"
1,3503540,שיטות בהנדסת תוכנה-תרגיל,7.0,א,175,סקר הוראה תרגול - א תשפג,5.22222222222222,4.11111111111111,5.88888888888889,3.66666666666667,175,15,9,60.0,2,3,"2,3"
1,3504513,חישוביות סיבוכיות-תרגיל,7.0,א,175,סקר הוראה תרגול - א תשפג,5.77777777777778,6.22222222222222,6.44444444444444,6.33333333333333,175,22,9,40.909,0,1,"0,1"
1,3600501,מערכות ספרתיות-תרגיל,14.0,א,175,סקר הוראה תרגול - א תשפג,6.11111111111111,6.33333333333333,6.83333333333333,6.33333333333333,175,27,18,66.667,0,1,"0,1"
1,3601506,הסתברות וסטטיסטיקה-תרגיל,70.0,א,175,סקר הוראה תרגול - א תשפג,6.61111111111111,6.72222222222222,6.88888888888889,6.61111111111111,175,42,18,42.857,0,1,"0,1"
1,3601509,מבוא להנדסת חשמל - תרגיל,14.0,א,175,סקר הוראה תרגול - א תשפג,5.6,5.26666666666667,6.26666666666667,5.375,175,32,16,50.0,1,3,"1,3"
1,3601565,תכנות 1 - תרגיל,14.0,א,175,סקר הוראה תרגול - א תשפג,6.0,6.35714285714286,6.71428571428571,5.85714285714286,175,30,14,46.667,0,1,"0,1"
1,3602511,פונקציות מרוכבות - תרגיל,14.0,א,175,סקר הוראה תרגול - א תשפג,4.16666666666667,4.15789473684211,4.26315789473684,4.15789473684211,175,35,19,54.286,2,2,"2,2"
1,3602519,מערכות לינאריות-תרגיל,14.0,א,175,סקר הוראה תרגול - א תשפג,6.65,6.65,6.8,6.7,175,34,20,58.824,0,1,"0,1"
1,3603521,חיישנים ומפעלים - תרגיל,14.0,א,175,סקר הוראה תרגול - א תשפג,3.875,3.875,4.875,4.25,175,18,8,44.444,2,2,"2,2"
1,3603531,אותות אקראים ורעש-תרגיל,14.0,א,175,סקר הוראה תרגול - א תשפג,5.76923076923077,6.15384615384615,6.30769230769231,5.76923076923077,175,36,13,36.111,1,1,"1,1"
1,3603538,ניתוח אותות ומערכות-תרגיל,14.0,א,175,סקר הוראה תרגול - א תשפג,5.4,5.6,6.2,5.2,175,19,5,26.316,1,3,"1,3"
