קבוצה,מספר שעור,שם שעור,מחלקה במערכת שכר,סמסטר,מס.שאלון,שם השאלון,ממוצע שאלה  1,ממוצע שאלה  2,ממוצע שאלה  3,ממוצע שאלה  4,מס.שאלון.1,לומדים,מס משיבים לקורס,אחוז משיבים,KMeans_Cluster,Hierarchical_Cluster,Clusters_Combined
0,4243283,פרוייקט סריגים - פוליפשן,5.0,א,192,סקר הוראה סטודיו - א תשפד,7.0,6.33333333333333,7.0,6.0,192,13,3,23.077,0,1,"0,1"
0,4243283,פרוייקט סריגים - פוליפשן,5.0,א,192,סקר הוראה סטודיו - א תשפד,5.25,5.0,6.25,6.0,192,13,4,30.769,2,2,"2,2"
1,1000100,אנגלית טרום בסיסי,50.0,א,190,סקר הוראה שיעור (עיצוב) - א תשפד,6.77777777777778,6.88888888888889,6.88888888888889,6.55555555555556,190,16,9,56.25,0,1,"0,1"
1,1000101,אנגלית בסיסי,50.0,א,190,סקר הוראה שיעור (עיצוב) - א תשפד,5.47058823529412,5.35294117647059,5.05882352941176,4.88235294117647,190,25,17,68.0,2,2,"2,2"
1,1000102,אנגלית מתקדמים א,50.0,א,190,סקר הוראה שיעור (עיצוב) - א תשפד,6.51282051282051,6.39473684210526,6.73684210526316,5.66666666666667,190,55,39,70.909,0,1,"0,1"
1,1000103,אנגלית מתקדמים ב,50.0,א,190,סקר הוראה שיעור (עיצוב) - א תשפד,6.96551724137931,6.89655172413793,7.0,6.72413793103448,190,44,29,65.909,0,1,"0,1"
1,1000110,מבוא לאסתטיקה א',60.0,א,190,סקר הוראה שיעור (עיצוב) - א תשפד,6.33333333333333,5.80952380952381,6.71428571428571,5.95238095238095,190,36,21,58.333,0,1,"0,1"
1,1000160,יוונים ורומים ששינו את העולם,50.0,א,190,סקר הוראה שיעור (עיצוב) - א תשפד,6.44444444444444,6.55555555555556,6.77777777777778,6.25,190,25,9,36.0,0,1,"0,1"
1,1000206,בעיות יסוד בחברה הישראלית,60.0,א,190,סקר הוראה שיעור (עיצוב) - א תשפד,6.0,5.14285714285714,4.85714285714286,4.85714285714286,190,37,7,18.919,2,2,"2,2"
1,1000233,מגדר וגוף,60.0,א,190,סקר הוראה שיעור (עיצוב) - א תשפד,4.70588235294118,4.64705882352941,5.29411764705882,4.64705882352941,190,35,17,48.571,2,3,"2,3"
1,1000235,ארוטיקה באמנות,60.0,א,190,סקר הוראה שיעור (עיצוב) - א תשפד,6.96153846153846,6.96296296296296,7.0,6.92592592592593,190,36,27,75.0,0,1,"0,1"
1,1000240,אודות אוצרות-חלק א',60.0,א,190,סקר הוראה שיעור (עיצוב) - א תשפד,5.75,6.0,6.0,5.625,190,24,8,33.333,2,1,"2,1"
1,1000245,תולדות הלבוש 1,60.0,א,190,סקר הוראה שיעור (עיצוב) - א תשפד,6.94736842105263,6.86842105263158,6.92105263157895,6.76315789473684,190,62,38,61.29,0,1,"0,1"
1,1000247,מבוא לתאוריה של אופנה עכשווית,60.0,א,190,סקר הוראה שיעור (עיצוב) - א תשפד,6.95652173913043,6.95652173913043,6.95652173913043,6.95652173913043,190,38,23,60.526,0,1,"0,1"
1,1000250,עיצוב ישראלי,80.0,א,190,סקר הוראה שיעור (עיצוב) - א תשפד,6.44444444444444,6.77777777777778,6.88888888888889,6.66666666666667,190,36,18,50.0,0,1,"0,1"
1,1000251,סקס סמים ורוק בשנות ה-60,60.0,א,190,סקר הוראה שיעור (עיצוב) - א תשפד,5.25,5.75,5.5,5.75,190,39,8,20.513,2,2,"2,2"
1,1000300,הפנים השונות של אהבה,60.0,א,190,סקר הוראה שיעור (עיצוב) - א תשפד,5.94117647058824,6.23529411764706,6.58823529411765,6.23529411764706,190,40,17,42.5,0,1,"0,1"
1,1000303,עיצוב ומשפט,60.0,א,190,סקר הוראה שיעור (עיצוב) - א תשפד,5.05555555555556,4.94117647058824,5.94444444444444,4.83333333333333,190,38,18,47.368,2,2,"2,2"
1,1000416,"רובוטים, בלובים וגלשנים: מבוא לעיצוב דיגיטלי",60.0,א,190,סקר הוראה שיעור (עיצוב) - א תשפד,5.85714285714286,5.5,6.42857142857143,5.25,190,26,8,30.769,2,2,"2,2"
1,1000419,יסודות הדימוי הנע,60.0,א,190,סקר הוראה שיעור (עיצוב) - א תשפד,6.6,6.77777777777778,7.0,6.9,190,37,10,27.027,0,1,"0,1"
1,1000421,מהרדיקלי עד הפרמטרי - התפתחות העיצוב העכשווי,60.0,א,190,סקר הוראה שיעור (עיצוב) - א תשפד,6.58333333333333,6.66666666666667,6.83333333333333,6.58333333333333,190,27,12,44.444,0,1,"0,1"
1,1000438,"מפיקאסו ל""משחקי הכס"":תרבות מערבית במאות ה-20-21",60.0,א,190,סקר הוראה שיעור (עיצוב) - א תשפד,6.63636363636364,6.83333333333333,6.83333333333333,6.63636363636364,190,42,12,28.571,0,1,"0,1"
1,1013259,אינטראקציות חדשות עם בינה מלאכותית,80.0,א,192,סקר הוראה סטודיו - א תשפד,7.0,7.0,7.0,7.0,192,6,1,16.667,0,1,"0,1"
1,1013260,DESIGN PLUS,80.0,א,192,סקר הוראה סטודיו - א תשפד,7.0,7.0,7.0,7.0,192,16,5,31.25,0,1,"0,1"
1,1500100,"בחינם או ביוקר? על יצירה, טכנולוגיה וכלכלה - בחירה",80.0,א,190,סקר הוראה שיעור (עיצוב) - א תשפד,5.09090909090909,5.54545454545455,6.27272727272727,5.63636363636364,190,20,11,55.0,2,2,"2,2"
1,1500100,"בחינם או ביוקר? על יצירה, טכנולוגיה וכלכלה - בחירה",,א,190,סקר הוראה שיעור (עיצוב) - א תשפד,5.53333333333333,5.93333333333333,6.66666666666667,5.66666666666667,190,20,15,75.0,2,2,"2,2"
1,3011505,כימיה כללית 1 - תרגיל,9.0,א,191,סקר הוראה תרגול - א תשפד,4.86666666666667,5.625,4.9375,5.3125,191,49,16,32.653,2,2,"2,2"
1,3100568,מבני נתונים ואלגוריתמים-תרגיל,70.0,א,191,סקר הוראה תרגול - א תשפד,6.94444444444444,6.88888888888889,7.0,7.0,191,46,18,39.13,0,1,"0,1"
1,3102524,בסיסי נתונים-תרגיל,1.0,א,191,סקר הוראה תרגול - א תשפד,7.0,7.0,7.0,6.91666666666667,191,18,12,66.667,0,1,"0,1"
